filepath,directory,filename,title,word_count,file_size,last_modified,framework,platforms,content_type,audience,has_frontmatter,internal_links,external_links,relative_links
documentation-implementation-plan.md,.,documentation-implementation-plan.md,Windows Development Documentation Implementation Plan,2039,16014,1758049431.7339396,windows-app-sdk,cross-version,tutorial,beginner,False,0,0,0
README-documentation-restructure.md,.,README-documentation-restructure.md,Windows Development Documentation Restructure Project,879,7013,1758049478.7856662,unknown,cross-version,guide,intermediate,False,3,0,0
documentation-analysis-goals.md,.,documentation-analysis-goals.md,Windows Development Documentation Analysis Goals,595,4492,1758049300.4173691,unknown,windows-10,guide,beginner,False,0,0,0
documentation-structure-vision.md,.,documentation-structure-vision.md,Windows Development Documentation Structure Vision,1002,8793,1758049353.3104618,unknown,windows-11,tutorial,beginner,False,0,0,0
README.md,.,README.md,,309,2278,1758048950.375219,unknown,cross-version,guide,intermediate,False,0,2,0
CONTRIBUTING.md,.,CONTRIBUTING.md,Contributing to this documentation,90,710,1758048950.3749294,unknown,cross-version,guide,intermediate,False,0,2,0
SECURITY.md,.,SECURITY.md,,334,2757,1758048950.375261,unknown,cross-version,guide,intermediate,False,0,12,0
uwp/monetize/get-details-for-an-error-in-your-desktop-application.md,uwp/monetize,get-details-for-an-error-in-your-desktop-application.md,Get details for an error in your desktop application,1445,12273,1758048954.2867208,uwp,"windows-10,windows-11",guide,intermediate,True,9,0,0
uwp/monetize/in-app-purchases-and-trials-using-the-windows-applicationmodel-store-namespace.md,uwp/monetize,in-app-purchases-and-trials-using-the-windows-applicationmodel-store-namespace.md,In-app purchases and trials using the Windows.ApplicationModel.Store namespace,3953,38069,1758048954.2959783,uwp,windows-10,guide,advanced,True,10,1,0
uwp/monetize/microsoft-store-services-sdk.md,uwp/monetize,microsoft-store-services-sdk.md,Engage customers with the Microsoft Store Services SDK,1359,10067,1758048954.298916,uwp,windows-10,guide,intermediate,True,6,3,0
uwp/monetize/in-app-purchases-and-trials.md,uwp/monetize,in-app-purchases-and-trials.md,In-app purchases and trials,4416,35475,1758048954.296117,uwp,"windows-10,windows-11",guide,intermediate,True,33,2,3
uwp/monetize/manage-add-ons.md,uwp/monetize,manage-add-ons.md,Manage add-ons,705,6646,1758048954.297268,uwp,windows-10,guide,intermediate,True,9,0,0
uwp/monetize/get-insights-data-for-your-desktop-app.md,uwp/monetize,get-insights-data-for-your-desktop-app.md,Get insights data for your desktop application,969,8271,1758048954.287144,uwp,windows-10,guide,intermediate,True,3,0,0
uwp/monetize/get-app-data.md,uwp/monetize,get-app-data.md,Get app data,864,8353,1758048954.2854872,uwp,windows-10,guide,advanced,True,15,0,0
uwp/monetize/manage-targeting-profiles-for-ad-campaigns.md,uwp/monetize,manage-targeting-profiles-for-ad-campaigns.md,Manage targeting profiles,2679,23236,1758048954.2986982,uwp,"windows-10,windows-11",guide,intermediate,True,8,1,0
uwp/monetize/get-an-add-on-submission.md,uwp/monetize,get-an-add-on-submission.md,Get an add-on submission,677,6261,1758048954.2848806,uwp,windows-10,guide,advanced,True,15,0,0
uwp/monetize/change-the-billing-state-of-a-subscription-for-a-user.md,uwp/monetize,change-the-billing-state-of-a-subscription-for-a-user.md,Change the billing state of a subscription for a user,1279,10421,1758048954.260399,uwp,windows-10,guide,intermediate,True,14,2,0
uwp/monetize/halt-the-package-rollout-for-a-flight-submission.md,uwp/monetize,halt-the-package-rollout-for-a-flight-submission.md,Halt the rollout for a flight,720,6186,1758048954.2899725,uwp,windows-10,guide,intermediate,True,14,0,0
uwp/monetize/get-acquisition-funnel-data.md,uwp/monetize,get-acquisition-funnel-data.md,Get app acquisition funnel data,839,7721,1758048954.2842891,uwp,windows-10,guide,intermediate,True,5,0,0
uwp/monetize/log-custom-events-for-dev-center.md,uwp/monetize,log-custom-events-for-dev-center.md,Log custom events for Partner Center,399,3258,1758048954.2966876,uwp,windows-10,guide,intermediate,True,2,0,0
uwp/monetize/get-all-apps.md,uwp/monetize,get-all-apps.md,Get all apps,904,8213,1758048954.2847936,uwp,windows-10,guide,intermediate,True,8,0,0
uwp/monetize/finalize-the-package-rollout-for-an-app-submission.md,uwp/monetize,finalize-the-package-rollout-for-an-app-submission.md,Finalize the rollout for an app submission,617,5489,1758048954.2838879,uwp,windows-10,guide,intermediate,True,11,0,0
uwp/monetize/create-a-flight-submission.md,uwp/monetize,create-a-flight-submission.md,Create a package flight submission,717,6616,1758048954.2812629,uwp,windows-10,guide,intermediate,True,18,0,0
uwp/monetize/get-the-stack-trace-for-an-error-in-your-app.md,uwp/monetize,get-the-stack-trace-for-an-error-in-your-app.md,Get the stack trace for an error in your app,906,7135,1758048954.2894883,uwp,windows-10,guide,intermediate,True,9,0,0
uwp/monetize/manage-targeted-offers-using-windows-store-services.md,uwp/monetize,manage-targeted-offers-using-windows-store-services.md,Manage targeted offers using Store services,616,5000,1758048954.298578,uwp,windows-10,guide,intermediate,True,5,2,1
uwp/monetize/get-an-add-on.md,uwp/monetize,get-an-add-on.md,Get an add-on,453,4176,1758048954.284958,uwp,windows-10,guide,intermediate,True,9,0,0
uwp/monetize/java-code-examples-for-submissions-game-options-and-trailers.md,uwp/monetize,java-code-examples-for-submissions-game-options-and-trailers.md,Java sample - app submission with game options and trailers,381,3416,1758048954.296365,uwp,windows-10,guide,advanced,True,6,0,0
uwp/monetize/exclude-or-limit-features-in-a-trial-version-of-your-app.md,uwp/monetize,exclude-or-limit-features-in-a-trial-version-of-your-app.md,Exclude or limit features in a trial version,1326,10026,1758048954.2836688,uwp,windows-10,guide,intermediate,True,2,1,0
uwp/monetize/renew-a-windows-store-id-key.md,uwp/monetize,renew-a-windows-store-id-key.md,Renew a Microsoft Store ID key,633,5606,1758048954.3000286,uwp,windows-10,guide,intermediate,True,7,2,0
uwp/monetize/report-consumable-products-as-fulfilled.md,uwp/monetize,report-consumable-products-as-fulfilled.md,Report consumable products as fulfilled,933,8482,1758048954.3000896,uwp,windows-10,guide,intermediate,True,12,2,0
uwp/monetize/csharp-code-examples-for-the-windows-store-submission-api.md,uwp/monetize,csharp-code-examples-for-the-windows-store-submission-api.md,"C# sample - submissions for apps, add-ons, and flights",1101,9856,1758048954.2821412,uwp,windows-10,reference,intermediate,True,28,3,0
uwp/monetize/get-an-app.md,uwp/monetize,get-an-app.md,Get an app,444,4254,1758048954.285159,uwp,windows-10,guide,advanced,True,8,0,0
uwp/monetize/delete-an-add-on-submission.md,uwp/monetize,delete-an-add-on-submission.md,Delete an add-on submission,471,4071,1758048954.282579,uwp,windows-10,guide,intermediate,True,10,0,0
uwp/monetize/enable-in-app-product-purchases.md,uwp/monetize,enable-in-app-product-purchases.md,Enable in-app product purchases,1086,8742,1758048954.2832193,uwp,windows-10,guide,intermediate,True,7,2,0
